"","Mean","Standard deviation","Stock","Confidence interval lower","Confidence interval upper"
"Problem2",15.78,4.57,1893.25,1695.42,2091.09
"Problem3",15.54,6.11,1864.76,1600.33,2129.2
"Problem4",13.92,4.21,1670.71,1488.6,1852.82
