"","A","V","B","N","Hd"
"1",20,147.198,19.728,845,18.9
"2",25,307.197616290835,37.448602334658,812,21.7293445429854
"3",35,394.607358642397,43.2586822916384,808,24.5305866348196
"4",45,453.503212301257,46.8675221447224,806,26.240023308171
