"","A","V","B","N","Hd"
"1",20,245.33,32.88,1408,18.9
"2",25,398.6167680178,48.8406620983274,1326,21.7293445429854
"3",35,512.038836229622,56.4181986217805,1319,24.5305866348196
"4",45,588.46154783334,61.1248663434842,1316,26.240023308171
