height,diameter
0.3,51.2
1.3,46.6
2.0,42.2
4.0,39.7
6.0,38.8
8.0,36.8
10.0,35.6
12.0,34.2
14.0,31.4
16.0,29.3
18.0,26.8
20.0,22.7
22.0,17.1
24.0,10.9
26.0,5.5
27.0,2.2
